"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MALAT1",0,0.649795482114626,1,0.999,0,"0","MALAT1"
"RPL13A",0,0.482264338935895,1,0.999,0,"0","RPL13A"
"RPL15",0,0.283149137494198,0.996,0.996,0,"0","RPL15"
"RGS10",2.22044604925031e-16,0.68483854152802,0.531,0.377,3.04511971194188e-12,"0","RGS10"
"TRAT1",2.22044604925031e-16,1.09741462245455,0.27,0.139,3.04511971194188e-12,"0","TRAT1"
"GYPC",6.66133814775094e-16,0.887812625975785,0.401,0.255,9.13535913582564e-12,"0","GYPC"
"HINT1",6.66133814775094e-16,0.512988164079715,0.734,0.61,9.13535913582564e-12,"0","HINT1"
"DNAJB1",2.44249065417534e-15,0.995483750143193,0.395,0.256,3.34963168313607e-11,"0","DNAJB1"
"EIF4A2",6.88338275267597e-15,0.537957893674049,0.74,0.606,9.43987110701983e-11,"0","EIF4A2"
"RPL23",2.39808173319034e-14,0.314887705355809,0.905,0.841,3.28872928889723e-10,"0","RPL23"
"EEF1D",1.0369483049999e-13,0.289487422781483,0.963,0.967,1.42207090547686e-09,"0","EEF1D"
"COMMD6",2.21378471110256e-13,0.503859371894375,0.68,0.575,3.03598435280605e-09,"0","COMMD6"
"OCIAD2",3.9324099532223e-13,0.759224967626893,0.325,0.192,5.39290700984907e-09,"0","OCIAD2"
"HSPA8",7.4673600636288e-13,0.418456423624835,0.769,0.642,1.02407375912605e-08,"0","HSPA8"
"PABPC1",2.07722727907367e-12,0.371103759327759,0.893,0.849,2.84870949052163e-08,"0","PABPC1"
"TRAF3IP3",3.20121706920418e-12,0.726235473588217,0.564,0.454,4.39014908870661e-08,"0","TRAF3IP3"
"FYB",3.81539244642681e-12,0.538517062047037,0.462,0.338,5.23242920102973e-08,"0","FYB"
"EVL",5.59263746424676e-12,0.512803300207195,0.633,0.497,7.66974301846801e-08,"0","EVL"
"SOD1",7.2970518516513e-12,0.577775007356964,0.598,0.483,1.00071769093546e-07,"0","SOD1"
"PRDX2",1.35007560686518e-11,0.759519406335101,0.38,0.259,1.8514936872549e-07,"0","PRDX2"
"ZFP36L2",1.77722281335946e-11,0.458361748360304,0.732,0.624,2.43728336624116e-07,"0","ZFP36L2"
"SLC2A3",3.35640404358628e-11,0.723303244968012,0.339,0.222,4.60297250537423e-07,"0","SLC2A3"
"CD2",8.34601276977764e-11,0.318697585439406,0.423,0.282,1.14457219124731e-06,"0","CD2"
"SRSF5",8.43078939993802e-11,0.304922199996738,0.788,0.715,1.1561984583075e-06,"0","SRSF5"
"PEBP1",1.30736532710785e-10,0.538995998629372,0.471,0.35,1.7929208095957e-06,"0","PEBP1"
"CXCR4",1.71771041834745e-10,0.326451327990993,0.697,0.567,2.35566806772169e-06,"0","CXCR4"
"ACAP1",2.04007255533156e-10,0.873620198681042,0.392,0.272,2.7977555023817e-06,"0","ACAP1"
"COX7C",3.57106122450546e-10,0.405238032846369,0.757,0.677,4.89735336328678e-06,"0","COX7C"
"LAT",5.93426863204627e-10,0.701844982109165,0.303,0.191,8.13825600198825e-06,"0","LAT"
"ST13",6.06088734755872e-10,0.727586660501766,0.48,0.376,8.31190090844203e-06,"0","ST13"
"GIMAP7",7.62037100088264e-10,0.321318333702552,0.621,0.512,1.04505767906105e-05,"0","GIMAP7"
"PSIP1",1.5232120009756e-09,0.915515313379856,0.26,0.164,2.08893293813794e-05,"0","PSIP1"
"SNRPD2",4.39652825257042e-09,0.447988978968181,0.636,0.546,6.02939884557507e-05,"0","SNRPD2"
"CYTIP",4.97682939304411e-09,0.404120918812191,0.424,0.314,6.8252238296207e-05,"0","CYTIP"
"DDX5",5.9085718540075e-09,0.299628429969306,0.87,0.794,8.10301544058589e-05,"0","DDX5"
"PPA1",8.4292059998603e-09,0.587729058654502,0.387,0.291,0.000115598131082084,"0","PPA1"
"BTG2",8.70379279760414e-09,0.637509194184918,0.437,0.336,0.000119363814426343,"0","BTG2"
"CD69",1.26869696970289e-08,0.39005114988852,0.455,0.328,0.000173989102425054,"0","CD69"
"JUN",1.42196652230808e-08,0.32896033152074,0.776,0.731,0.00019500848886933,"0","JUN"
"RSL1D1",1.6589084550489e-08,0.642623911172534,0.405,0.301,0.000227502705525406,"0","RSL1D1"
"EEF1G",2.13251394987068e-07,0.709541692601054,0.308,0.223,0.00292452963085266,"0","EEF1G"
"NBEAL1",3.14733080708507e-07,0.306253970903139,0.741,0.666,0.00431624946883646,"0","NBEAL1"
"UXT",4.94070655054912e-07,0.455069562206638,0.471,0.387,0.00677568496342307,"0","UXT"
"EIF3E",9.10132319287271e-07,0.542893763529029,0.433,0.356,0.0124815546267056,"0","EIF3E"
"CCDC109B",2.04716905982671e-06,0.689172996433523,0.387,0.306,0.0280748764864636,"0","CCDC109B"
"STK17A",4.10756679292135e-06,0.354691392170499,0.389,0.294,0.0563311709981233,"0","STK17A"
"SPOCK2",6.07409276920379e-06,0.60215809542796,0.27,0.188,0.0833001082368607,"0","SPOCK2"
"BTF3",9.11733475672527e-06,0.252218985100605,0.912,0.89,0.12503512885373,"0","BTF3"
"NDUFA2",1.18355010002004e-05,0.267304829456003,0.192,0.281,0.162312060716749,"0","NDUFA2"
"CUTA",2.41804325267214e-05,0.488752014896531,0.485,0.418,0.331610451671458,"0","CUTA"
"RPL41",2.45315700799775e-05,0.310900495052679,0.585,0.528,0.336425952076812,"0","RPL41"
"MZT2B",3.03730505244459e-05,0.492173120389892,0.427,0.359,0.416536014892252,"0","MZT2B"
"RARRES3",3.35359613403696e-05,0.255145893474529,0.541,0.448,0.459912173821829,"0","RARRES3"
"CITED2",4.60283913621407e-05,0.616024769191088,0.278,0.212,0.631233359140397,"0","CITED2"
"SNHG8",6.30313168137331e-05,0.752869920480254,0.301,0.233,0.864411478783536,"0","SNHG8"
"RPL39",9.96083111013402e-05,0.545513693489463,0.325,0.257,1,"0","RPL39"
"TMA7",0.000146655573259435,0.337215549531382,0.727,0.654,1,"0","TMA7"
"MZT2A",0.00017887826819285,0.463857852545252,0.308,0.245,1,"0","MZT2A"
"SBDS",0.000227902954489823,0.360287795795238,0.254,0.19,1,"0","SBDS"
"CCNI",0.000254110042129163,0.299968573587041,0.675,0.615,1,"0","CCNI"
"EIF2S3",0.0003241387455728,0.404738746432455,0.256,0.196,1,"0","EIF2S3"
"TOMM20",0.000350395889346267,0.462000009170035,0.313,0.256,1,"0","TOMM20"
"SON",0.000486900610035645,0.491181038500963,0.354,0.301,1,"0","SON"
"BIN1",0.000603341502835253,0.398100436619518,0.3,0.233,1,"0","BIN1"
"SF1",0.000648564453607836,0.451299535309917,0.348,0.292,1,"0","SF1"
"CDC42SE2",0.000703483805850169,0.343686462142007,0.279,0.217,1,"0","CDC42SE2"
"CMPK1",0.000869622063707221,0.340508652735782,0.421,0.362,1,"0","CMPK1"
"GIMAP4",0.000986178312541552,0.308427065724573,0.494,0.447,1,"0","GIMAP4"
"ZFAS1",0.00155070281388903,0.290986621864738,0.519,0.481,1,"0","ZFAS1"
"MRPS21",0.00163635290369979,0.736817309184982,0.265,0.212,1,"0","MRPS21"
"PCNP",0.00245094430069392,0.584695005636169,0.291,0.245,1,"0","PCNP"
"NDUFS5",0.00259331410246966,0.373706644008834,0.431,0.386,1,"0","NDUFS5"
"SEPT1",0.00302667883538232,0.617594784814764,0.269,0.221,1,"0","SEPT1"
"C1QBP",0.0089059359945538,0.264355780201841,0.399,0.364,1,"0","C1QBP"
"GIMAP1",0.00926764176658335,0.25537211849212,0.352,0.316,1,"0","GIMAP1"
"S100A8",0,6.64505608845263,0.975,0.121,0,"1","S100A8"
"LGALS2",0,5.651790479768,0.909,0.059,0,"1","LGALS2"
"FCN1",0,4.06178234726513,0.952,0.15,0,"1","FCN1"
"S100A9",0,6.18144673331318,0.996,0.215,0,"1","S100A9"
"LST1",0,2.25061646878148,0.958,0.223,0,"1","LST1"
"TYROBP",0,3.27199969585116,0.994,0.265,0,"1","TYROBP"
"CST3",0,3.20363062442605,0.992,0.266,0,"1","CST3"
"AIF1",0,2.51902749154392,0.958,0.244,0,"1","AIF1"
"FCER1G",0,2.03121597458017,0.94,0.229,0,"1","FCER1G"
"TYMP",0,3.12966745209758,0.919,0.222,0,"1","TYMP"
"CFD",0,3.15634919894787,0.786,0.106,0,"1","CFD"
"MS4A6A",0,5.34534971742333,0.686,0.041,0,"1","MS4A6A"
"CD14",0,5.98417657388839,0.667,0.027,0,"1","CD14"
"GRN",0,3.63228470463172,0.759,0.127,0,"1","GRN"
"LGALS1",0,2.79457055922374,0.979,0.365,0,"1","LGALS1"
"GPX1",0,2.60766533495197,0.923,0.312,0,"1","GPX1"
"CD68",0,2.92014930437,0.709,0.114,0,"1","CD68"
"GSTP1",0,2.90499105726627,0.944,0.352,0,"1","GSTP1"
"LGALS3",0,3.11013917996831,0.715,0.142,0,"1","LGALS3"
"AP1S2",0,2.98521278153695,0.765,0.194,0,"1","AP1S2"
"CEBPD",0,3.26965575240882,0.692,0.121,0,"1","CEBPD"
"SERPINA1",0,2.50038529064361,0.711,0.143,0,"1","SERPINA1"
"NPC2",0,2.5157793067364,0.879,0.315,0,"1","NPC2"
"CFP",0,2.97792082799547,0.647,0.11,0,"1","CFP"
"PYCARD",0,2.08558777225033,0.809,0.274,0,"1","PYCARD"
"TKT",0,2.30712259370332,0.782,0.255,0,"1","TKT"
"S100A11",0,2.06213079665656,0.95,0.432,0,"1","S100A11"
"CTSS",0,2.35256115717033,0.944,0.429,0,"1","CTSS"
"FCGRT",0,3.09364877832443,0.653,0.14,0,"1","FCGRT"
"SPI1",0,2.54042968037233,0.632,0.121,0,"1","SPI1"
"PSAP",0,2.15036734994665,0.923,0.417,0,"1","PSAP"
"NCF2",0,3.61308635595636,0.588,0.084,0,"1","NCF2"
"RAC1",0,2.0847869103892,0.852,0.348,0,"1","RAC1"
"IFITM3",0,2.21340687462864,0.624,0.137,0,"1","IFITM3"
"CDA",0,3.94893142120716,0.543,0.058,0,"1","CDA"
"LYZ",0,4.74235792649738,1,0.516,0,"1","LYZ"
"IFI30",0,2.80742993697074,0.555,0.079,0,"1","IFI30"
"BLVRB",0,3.64667575556781,0.551,0.075,0,"1","BLVRB"
"GABARAP",0,2.12431766303886,0.875,0.404,0,"1","GABARAP"
"TALDO1",0,1.90709074259518,0.755,0.285,0,"1","TALDO1"
"BRI3",0,2.70209524242521,0.588,0.12,0,"1","BRI3"
"HLA-DRA",0,0.839204268986212,0.942,0.475,0,"1","HLA-DRA"
"SAT1",0,2.04012210047232,0.967,0.507,0,"1","SAT1"
"HLA-DRB1",0,1.00644449025684,0.832,0.377,0,"1","HLA-DRB1"
"TSPO",0,2.14220403542845,0.848,0.395,0,"1","TSPO"
"IFI6",0,1.90413199942694,0.773,0.321,0,"1","IFI6"
"NUP214",0,3.6945311328959,0.514,0.062,0,"1","NUP214"
"CSF3R",0,4.41138111519662,0.464,0.038,0,"1","CSF3R"
"AP2S1",0,1.98408958229343,0.701,0.276,0,"1","AP2S1"
"C1orf162",0,1.58849693449511,0.736,0.312,0,"1","C1orf162"
"RNF130",0,3.00834571607411,0.526,0.103,0,"1","RNF130"
"TNFSF13B",0,3.45363940677574,0.507,0.085,0,"1","TNFSF13B"
"COTL1",0,1.78126380048263,0.973,0.553,0,"1","COTL1"
"CEBPB",0,1.64036604885417,0.665,0.248,0,"1","CEBPB"
"SLC7A7",0,3.36644815969521,0.47,0.063,0,"1","SLC7A7"
"CTSB",0,2.78488997344953,0.53,0.127,0,"1","CTSB"
"ALDH2",0,3.82355703305795,0.441,0.038,0,"1","ALDH2"
"HLA-DRB5",0,1.10217536036471,0.678,0.279,0,"1","HLA-DRB5"
"ANXA2",0,1.60175735007553,0.761,0.365,0,"1","ANXA2"
"CTSH",0,2.69295597902593,0.501,0.105,0,"1","CTSH"
"RGS2",0,1.95454391850545,0.599,0.206,0,"1","RGS2"
"FPR1",0,4.09853452649509,0.426,0.038,0,"1","FPR1"
"ATP6V0B",0,2.09107720285042,0.651,0.268,0,"1","ATP6V0B"
"CAPG",0,2.0824296739991,0.538,0.165,0,"1","CAPG"
"TIMP1",0,1.26915201802538,0.632,0.261,0,"1","TIMP1"
"MNDA",0,3.31355597415424,0.424,0.06,0,"1","MNDA"
"APOBEC3A",0,3.35979555718909,0.422,0.059,0,"1","APOBEC3A"
"IGSF6",0,3.79946649651692,0.403,0.043,0,"1","IGSF6"
"LY86",0,2.12367698961975,0.484,0.127,0,"1","LY86"
"LINC00936",0,2.3038393329414,0.572,0.215,0,"1","LINC00936"
"ASGR1",0,5.68257639011747,0.37,0.015,0,"1","ASGR1"
"HLA-DMA",0,1.33117533507936,0.553,0.202,0,"1","HLA-DMA"
"FGR",0,1.75015295524838,0.501,0.153,0,"1","FGR"
"PRELID1",0,1.48879336449225,0.748,0.408,0,"1","PRELID1"
"NEAT1",0,1.48318471539689,0.917,0.578,0,"1","NEAT1"
"CNPY3",0,1.88733733145888,0.553,0.218,0,"1","CNPY3"
"CTSD",0,1.92416761902243,0.516,0.181,0,"1","CTSD"
"SRGN",0,1.15822885239166,0.873,0.538,0,"1","SRGN"
"VCAN",0,3.86807777953657,0.37,0.036,0,"1","VCAN"
"C20orf24",0,1.72538248769434,0.582,0.249,0,"1","C20orf24"
"ODF3B",0,3.28147799073904,0.393,0.061,0,"1","ODF3B"
"HLA-DPA1",0,0.833239235681448,0.763,0.433,0,"1","HLA-DPA1"
"CPVL",0,3.42106285496039,0.385,0.056,0,"1","CPVL"
"BLVRA",0,2.69570579517908,0.455,0.126,0,"1","BLVRA"
"LILRA5",0,2.81685747044222,0.385,0.061,0,"1","LILRA5"
"NFKBIA",0,1.54047805980622,0.721,0.397,0,"1","NFKBIA"
"PGLS",0,1.48007542149252,0.559,0.24,0,"1","PGLS"
"AGTRAP",0,2.53499602808121,0.414,0.095,0,"1","AGTRAP"
"STX11",0,2.87418510262946,0.393,0.076,0,"1","STX11"
"FKBP1A",0,1.25482257339326,0.723,0.408,0,"1","FKBP1A"
"AMICA1",0,1.56004597624127,0.52,0.206,0,"1","AMICA1"
"PLBD1",0,4.39129198373733,0.343,0.031,0,"1","PLBD1"
"SERPINB1",0,1.63466909285021,0.62,0.309,0,"1","SERPINB1"
"STXBP2",0,1.65962287473351,0.499,0.188,0,"1","STXBP2"
"TGFBI",0,3.3376220557429,0.36,0.051,0,"1","TGFBI"
"GLRX",0,1.47451111528151,0.626,0.32,0,"1","GLRX"
"SMCO4",0,3.39416610966406,0.356,0.05,0,"1","SMCO4"
"ASAH1",0,1.57546979895461,0.495,0.191,0,"1","ASAH1"
"CCL3",0,2.84145459005172,0.389,0.085,0,"1","CCL3"
"RBP7",0,4.98273687068265,0.312,0.013,0,"1","RBP7"
"LAMTOR4",0,1.12874723300136,0.765,0.466,0,"1","LAMTOR4"
"ISG15",0,1.37307609770095,0.692,0.394,0,"1","ISG15"
"HCK",0,1.97998493650696,0.393,0.096,0,"1","HCK"
"BST1",0,4.50574310919979,0.316,0.02,0,"1","BST1"
"HLA-DPB1",0,0.630709427467579,0.761,0.465,0,"1","HLA-DPB1"
"ATP6V1F",0,1.56965405730705,0.615,0.319,0,"1","ATP6V1F"
"FOLR3",0,7.28084188073784,0.299,0.004,0,"1","FOLR3"
"KLF4",0,2.90701281602692,0.36,0.067,0,"1","KLF4"
"PLAUR",0,2.94468011542361,0.36,0.067,0,"1","PLAUR"
"APLP2",0,2.13367236105827,0.405,0.113,0,"1","APLP2"
"H2AFY",0,1.92379750482796,0.534,0.245,0,"1","H2AFY"
"RHOG",0,1.26894311986202,0.622,0.339,0,"1","RHOG"
"TCEB2",0,1.20945460463269,0.719,0.436,0,"1","TCEB2"
"LAMTOR1",0,1.01734559508678,0.574,0.293,0,"1","LAMTOR1"
"FOSB",0,1.28014833134816,0.717,0.437,0,"1","FOSB"
"FAM26F",0,1.31597323839476,0.457,0.178,0,"1","FAM26F"
"C10orf54",0,1.21066458569648,0.601,0.322,0,"1","C10orf54"
"CLTA",0,1.336078749916,0.516,0.242,0,"1","CLTA"
"SCO2",0,2.4017897766806,0.356,0.084,0,"1","SCO2"
"S100A12",0,6.73772996912494,0.277,0.006,0,"1","S100A12"
"RAB32",0,3.73767511032848,0.308,0.037,0,"1","RAB32"
"FGL2",0,2.95961194854937,0.347,0.077,0,"1","FGL2"
"ANXA5",0,1.2916045731265,0.528,0.259,0,"1","ANXA5"
"CTSZ",0,2.54996324880931,0.333,0.064,0,"1","CTSZ"
"IFNGR2",0,2.28509351773682,0.376,0.108,0,"1","IFNGR2"
"GLIPR2",0,1.55659687020297,0.443,0.176,0,"1","GLIPR2"
"CARD16",0,1.28396615058498,0.505,0.238,0,"1","CARD16"
"MSRB1",0,2.73670516347902,0.326,0.059,0,"1","MSRB1"
"CD63",0,1.04636697180667,0.561,0.297,0,"1","CD63"
"C19orf38",0,2.99829718646688,0.32,0.056,0,"1","C19orf38"
"PGD",0,2.67074727676161,0.333,0.07,0,"1","PGD"
"BID",0,1.56954124205513,0.422,0.159,0,"1","BID"
"S100A6",0,2.11955558153308,0.996,0.735,0,"1","S100A6"
"EIF4EBP1",0,2.39456898119243,0.337,0.076,0,"1","EIF4EBP1"
"C4orf48",0,2.17010742846452,0.372,0.112,0,"1","C4orf48"
"GSTO1",0,1.26921076299372,0.505,0.245,0,"1","GSTO1"
"LGALS9",0,1.74339594599113,0.387,0.128,0,"1","LGALS9"
"PILRA",0,2.11701574633173,0.328,0.071,0,"1","PILRA"
"CD33",0,3.89122704382419,0.281,0.027,0,"1","CD33"
"VAMP8",0,0.908225399030895,0.715,0.462,0,"1","VAMP8"
"TPI1",0,0.959863242379049,0.715,0.462,0,"1","TPI1"
"MPEG1",0,2.77688392974289,0.314,0.063,0,"1","MPEG1"
"S100A10",0,1.29628363134354,0.844,0.597,0,"1","S100A10"
"NCF1",0,1.86521752515285,0.368,0.121,0,"1","NCF1"
"TBXAS1",0,2.33702562498749,0.318,0.071,0,"1","TBXAS1"
"IL8",0,4.32969904752017,0.277,0.031,0,"1","IL8"
"TMEM176B",0,4.12326996534885,0.266,0.021,0,"1","TMEM176B"
"SAT2",0,2.14312539870772,0.37,0.127,0,"1","SAT2"
"GNAI2",0,1.55463547851673,0.428,0.186,0,"1","GNAI2"
"GCA",0,1.95279743882646,0.328,0.087,0,"1","GCA"
"IL1B",0,3.81224201810625,0.274,0.036,0,"1","IL1B"
"MAFB",0,3.33749442136089,0.293,0.055,0,"1","MAFB"
"H3F3A",0,0.956534434137071,0.58,0.342,0,"1","H3F3A"
"RNASE6",0,2.32715166144791,0.295,0.058,0,"1","RNASE6"
"DYNLT1",0,1.46336631639099,0.385,0.149,0,"1","DYNLT1"
"NOP10",0,1.27658644766471,0.489,0.253,0,"1","NOP10"
"NDUFS7",0,1.31708048207394,0.486,0.25,0,"1","NDUFS7"
"JUND",0,2.37607241318039,0.345,0.111,0,"1","JUND"
"SERP1",0,0.725618101113942,0.744,0.511,0,"1","SERP1"
"BST2",0,0.960866036492707,0.638,0.407,0,"1","BST2"
"EFHD2",0,1.46794646014636,0.383,0.152,0,"1","EFHD2"
"CSTB",0,0.995443859110032,0.559,0.329,0,"1","CSTB"
"ARRB2",0,1.65094613496126,0.445,0.216,0,"1","ARRB2"
"S100A4",0,1.69579303425167,1,0.771,0,"1","S100A4"
"GPX4",0,1.00358173249429,0.732,0.503,0,"1","GPX4"
"SLC11A1",0,2.86233795556338,0.277,0.049,0,"1","SLC11A1"
"NDUFA11",0,0.951030205487919,0.599,0.372,0,"1","NDUFA11"
"SUPT4H1",0,1.20102818939648,0.474,0.248,0,"1","SUPT4H1"
"WDR83OS",0,0.965186021147738,0.53,0.306,0,"1","WDR83OS"
"MT2A",0,1.00127606189668,0.499,0.277,0,"1","MT2A"
"SLC25A5",0,1.02783722497323,0.69,0.469,0,"1","SLC25A5"
"BNIP3L",0,1.74120892965829,0.347,0.127,0,"1","BNIP3L"
"ARPC1B",0,1.20772692584294,0.927,0.708,0,"1","ARPC1B"
"FCGR2A",0,3.40350137933788,0.264,0.045,0,"1","FCGR2A"
"C5AR1",0,2.91181571546421,0.277,0.059,0,"1","C5AR1"
"ITGB2",0,0.64482042128007,0.649,0.432,0,"1","ITGB2"
"TIMM13",0,1.30656878463829,0.385,0.17,0,"1","TIMM13"
